DSU,Stage,N,E,ipf,ssf,shuffle,Score,Score Error
Adaptive3/halfing:same_set_requests_true,1,1000000,16000000,0.02,0.2,true,1332657.000,672.603
Adaptive3/halfing:same_set_requests_false,1,1000000,16000000,0.02,0.2,true,0.000,0.000
Adaptive3/halfing:union_requests,1,1000000,16000000,0.02,0.2,true,5333967.000,672.603
Adaptive3/halfing,2,1000000,16000000,0.02,0.2,true,2452459.449,558256.604
Adaptive3/halfing:cross_node_read,2,1000000,16000000,0.02,0.2,true,1108041.667,461747.185
Adaptive3/halfing:this_node_read,2,1000000,16000000,0.02,0.2,true,25733337.167,427311.275
Adaptive3/halfing:cross_node_write,2,1000000,16000000,0.02,0.2,true,0.000,0.000
Adaptive3/halfing:this_node_read_success,2,1000000,16000000,0.02,0.2,true,3422682.667,112239.548
Adaptive3/halfing:this_node_write,2,1000000,16000000,0.02,0.2,true,17160.500,41911.101
Adaptive3/halfing:global_data_read_write,2,1000000,16000000,0.02,0.2,true,0.000,0.000
Adaptive3/halfing:same_set_requests_true,2,1000000,16000000,0.02,0.2,true,1332760.000,95.304
Adaptive3/halfing:same_set_requests_false,2,1000000,16000000,0.02,0.2,true,0.000,0.000
Adaptive3/halfing:union_requests,2,1000000,16000000,0.02,0.2,true,5333992.000,95.304
Adaptive2/squashing,0,1000000,16000000,0.02,0.2,true,2544345.501,625270.155
Adaptive2/squashing:cross_node_read,0,1000000,16000000,0.02,0.2,true,1920563.500,3313169.568
Adaptive2/squashing:this_node_read,0,1000000,16000000,0.02,0.2,true,28160803.000,2139197.848
Adaptive2/squashing:cross_node_write,0,1000000,16000000,0.02,0.2,true,0.000,0.000
Adaptive2/squashing:this_node_read_success,0,1000000,16000000,0.02,0.2,true,1097618.667,1313104.839
Adaptive2/squashing:this_node_write,0,1000000,16000000,0.02,0.2,true,0.000,0.000
Adaptive2/squashing:global_data_read_write,0,1000000,16000000,0.02,0.2,true,0.000,0.000
Adaptive2/squashing:same_set_requests_true,0,1000000,16000000,0.02,0.2,true,1332593.167,965.213
Adaptive2/squashing:same_set_requests_false,0,1000000,16000000,0.02,0.2,true,295.333,595.369
Adaptive2/squashing:union_requests,0,1000000,16000000,0.02,0.2,true,5333735.500,550.461
Adaptive2/squashing,1,1000000,16000000,0.02,0.2,true,2558346.727,625513.645
Adaptive2/squashing:cross_node_read,1,1000000,16000000,0.02,0.2,true,1916751.167,3317175.841
Adaptive2/squashing:this_node_read,1,1000000,16000000,0.02,0.2,true,28159883.833,2140981.381
Adaptive2/squashing:cross_node_write,1,1000000,16000000,0.02,0.2,true,0.000,0.000
