DSU,N,E,interpairFraction,sameSetFraction,Score,Score Error
ParallelUnions/halfing,1000000,16000000,0.020,0.650,4459439.220,56228.573
Adaptive2/halfing,1000000,16000000,0.020,0.650,4539716.928,29462.944
Adaptive3/halfing,1000000,16000000,0.020,0.650,4329787.342,31163.905
ParallelUnions/squashing,1000000,16000000,0.020,0.650,4468035.353,70966.087
Adaptive2/squashing,1000000,16000000,0.020,0.650,4529891.359,36028.677
Adaptive3/squashing,1000000,16000000,0.020,0.650,4358201.514,49345.322
Usual,1000000,64000000,0.020,0.650,4707043.853,34085.892
ParallelUnions/halfing,1000000,64000000,0.020,0.650,4737238.594,22816.729
Adaptive2/halfing,1000000,64000000,0.020,0.650,4631548.322,44289.771
Adaptive3/halfing,1000000,64000000,0.020,0.650,4400589.036,34256.460
ParallelUnions/squashing,1000000,64000000,0.020,0.650,4667499.648,28524.716
Adaptive2/squashing,1000000,64000000,0.020,0.650,4637534.615,33681.336
Adaptive3/squashing,1000000,64000000,0.020,0.650,4469083.335,31064.226
Usual,1000000,4000000,0.100,0.650,3149685.207,108694.182
ParallelUnions/halfing,1000000,4000000,0.100,0.650,3481015.395,346134.428
Adaptive2/halfing,1000000,4000000,0.100,0.650,3830146.322,98438.036
Adaptive3/halfing,1000000,4000000,0.100,0.650,3641787.896,93200.833
ParallelUnions/squashing,1000000,4000000,0.100,0.650,3425689.905,391639.515
Adaptive2/squashing,1000000,4000000,0.100,0.650,3804863.061,106899.426
Adaptive3/squashing,1000000,4000000,0.100,0.650,3513936.040,203965.559
Usual,1000000,16000000,0.100,0.650,3897961.581,109065.797
ParallelUnions/halfing,1000000,16000000,0.100,0.650,4284576.154,53627.748
Adaptive2/halfing,1000000,16000000,0.100,0.650,4389170.419,31235.014
Adaptive3/halfing,1000000,16000000,0.100,0.650,4195531.461,31246.324
ParallelUnions/squashing,1000000,16000000,0.100,0.650,4254126.599,61936.812
Adaptive2/squashing,1000000,16000000,0.100,0.650,4383197.684,46410.219
Adaptive3/squashing,1000000,16000000,0.100,0.650,4141956.156,27895.038
Usual,1000000,64000000,0.100,0.650,4620307.378,27244.734
ParallelUnions/halfing,1000000,64000000,0.100,0.650,4692496.432,58759.641
Adaptive2/halfing,1000000,64000000,0.100,0.650,4548614.964,80008.617
Adaptive3/halfing,1000000,64000000,0.100,0.650,4373450.328,78717.448
ParallelUnions/squashing,1000000,64000000,0.100,0.650,4666680.884,94364.552
Adaptive2/squashing,1000000,64000000,0.100,0.650,4572382.714,54104.089
Adaptive3/squashing,1000000,64000000,0.100,0.650,4418614.901,62294.607
Usual,1000000,4000000,0.300,0.650,2647447.656,168040.021
ParallelUnions/halfing,1000000,4000000,0.300,0.650,3191637.702,99236.225
Adaptive2/halfing,1000000,4000000,0.300,0.650,3491170.458,45436.150
Adaptive3/halfing,1000000,4000000,0.300,0.650,3337106.632,49901.329
ParallelUnions/squashing,1000000,4000000,0.300,0.650,2918056.781,184662.379
Adaptive2/squashing,1000000,4000000,0.300,0.650,3394098.217,65841.845
Adaptive3/squashing,1000000,4000000,0.300,0.650,3147230.809,42512.977
Usual,1000000,16000000,0.300,0.650,4101514.461,106014.190
ParallelUnions/halfing,1000000,16000000,0.300,0.650,4352864.443,142073.194
Adaptive2/halfing,1000000,16000000,0.300,0.650,4253173.624,56385.428
Adaptive3/halfing,1000000,16000000,0.300,0.650,4108679.771,45916.312
ParallelUnions/squashing,1000000,16000000,0.300,0.650,4347589.581,165529.082
Adaptive2/squashing,1000000,16000000,0.300,0.650,4259759.417,49239.471
Adaptive3/squashing,1000000,16000000,0.300,0.650,4134509.461,70779.627
Usual,1000000,64000000,0.300,0.650,4667034.697,53469.379
ParallelUnions/halfing,1000000,64000000,0.300,0.650,4711416.820,20747.886
Adaptive2/halfing,1000000,64000000,0.300,0.650,4494325.358,76316.752
Adaptive3/halfing,1000000,64000000,0.300,0.650,4333739.497,53903.908
ParallelUnions/squashing,1000000,64000000,0.300,0.650,4659723.953,30753.344
Adaptive2/squashing,1000000,64000000,0.300,0.650,4497712.236,84254.912
Adaptive3/squashing,1000000,64000000,0.300,0.650,4388446.014,48450.542
Usual,1000000,4000000,0.020,0.800,3499084.608,177705.262
ParallelUnions/halfing,1000000,4000000,0.020,0.800,3994417.592,108502.408
Adaptive2/halfing,1000000,4000000,0.020,0.800,4325671.831,37625.138
Adaptive3/halfing,1000000,4000000,0.020,0.800,4014157.197,49973.664
ParallelUnions/squashing,1000000,4000000,0.020,0.800,3950112.589,157168.590
Adaptive2/squashing,1000000,4000000,0.020,0.800,4266730.819,73391.311
Adaptive3/squashing,1000000,4000000,0.020,0.800,3807314.220,173280.538
Usual,1000000,16000000,0.020,0.800,4534042.505,32911.378
ParallelUnions/halfing,1000000,16000000,0.020,0.800,4601262.499,52885.595
Adaptive2/halfing,1000000,16000000,0.020,0.800,4594042.009,26248.810
Adaptive3/halfing,1000000,16000000,0.020,0.800,4370314.115,40227.143
ParallelUnions/squashing,1000000,16000000,0.020,0.800,4570154.480,64014.617
Adaptive2/squashing,1000000,16000000,0.020,0.800,4629669.602,27499.563
Adaptive3/squashing,1000000,16000000,0.020,0.800,4329889.352,34501.664
Usual,1000000,64000000,0.020,0.800,4794640.979,27588.240
ParallelUnions/halfing,1000000,64000000,0.020,0.800,4759754.812,35143.366
Adaptive2/halfing,1000000,64000000,0.020,0.800,4589580.908,37870.885
Adaptive3/halfing,1000000,64000000,0.020,0.800,4390700.320,44915.556
ParallelUnions/squashing,1000000,64000000,0.020,0.800,4751858.260,29532.812
Adaptive2/squashing,1000000,64000000,0.020,0.800,4648776.733,24816.170
Adaptive3/squashing,1000000,64000000,0.020,0.800,4436130.527,33555.845
Usual,1000000,4000000,0.100,0.800,3295373.757,400261.222
ParallelUnions/halfing,1000000,4000000,0.100,0.800,4135929.918,51233.973
Adaptive2/halfing,1000000,4000000,0.100,0.800,4123869.292,28830.829
Adaptive3/halfing,1000000,4000000,0.100,0.800,3885979.986,42228.691
ParallelUnions/squashing,1000000,4000000,0.100,0.800,4150910.225,64846.305
Adaptive2/squashing,1000000,4000000,0.100,0.800,4111196.188,61814.031
Adaptive3/squashing,1000000,4000000,0.100,0.800,3866636.272,78923.507
Usual,1000000,16000000,0.100,0.800,4361874.542,94744.560
ParallelUnions/halfing,1000000,16000000,0.100,0.800,4642675.888,26089.753
Adaptive2/halfing,1000000,16000000,0.100,0.800,4495157.716,40518.566
Adaptive3/halfing,1000000,16000000,0.100,0.800,4315513.428,28345.456
ParallelUnions/squashing,1000000,16000000,0.100,0.800,4639795.855,26566.683
Adaptive2/squashing,1000000,16000000,0.100,0.800,4459304.493,43240.666
Adaptive3/squashing,1000000,16000000,0.100,0.800,4320172.076,26279.751
Usual,1000000,64000000,0.100,0.800,4795667.624,26890.556
ParallelUnions/halfing,1000000,64000000,0.100,0.800,4787093.161,38475.876
Adaptive2/halfing,1000000,64000000,0.100,0.800,4556451.368,45575.713
Adaptive3/halfing,1000000,64000000,0.100,0.800,4396014.283,39320.985
ParallelUnions/squashing,1000000,64000000,0.100,0.800,4738029.414,32874.638
Adaptive2/squashing,1000000,64000000,0.100,0.800,4592856.354,53505.612
Adaptive3/squashing,1000000,64000000,0.100,0.800,4401621.462,36125.144
Usual,1000000,4000000,0.300,0.800,3158851.751,120758.633
ParallelUnions/halfing,1000000,4000000,0.300,0.800,3974115.474,165359.823
Adaptive2/halfing,1000000,4000000,0.300,0.800,3847461.622,56805.326
Adaptive3/halfing,1000000,4000000,0.300,0.800,3629893.723,59105.950
ParallelUnions/squashing,1000000,4000000,0.300,0.800,3888564.500,204368.240
Adaptive2/squashing,1000000,4000000,0.300,0.800,3799189.314,97066.698
Adaptive3/squashing,1000000,4000000,0.300,0.800,3464911.637,145874.686
Usual,1000000,16000000,0.300,0.800,4416562.305,26052.212
ParallelUnions/halfing,1000000,16000000,0.300,0.800,4679778.100,23440.351
Adaptive2/halfing,1000000,16000000,0.300,0.800,4377340.259,49998.063
Adaptive3/halfing,1000000,16000000,0.300,0.800,4258995.844,31516.840
ParallelUnions/squashing,1000000,16000000,0.300,0.800,4689827.928,25733.927
Adaptive2/squashing,1000000,16000000,0.300,0.800,4392912.155,38286.923
Adaptive3/squashing,1000000,16000000,0.300,0.800,4261445.230,37924.144
Usual,1000000,64000000,0.300,0.800,4708082.430,54605.634
ParallelUnions/halfing,1000000,64000000,0.300,0.800,4767545.542,50903.161
Adaptive2/halfing,1000000,64000000,0.300,0.800,4476955.128,83013.701
Adaptive3/halfing,1000000,64000000,0.300,0.800,4359995.284,42049.933
ParallelUnions/squashing,1000000,64000000,0.300,0.800,4758682.458,33946.405
Adaptive2/squashing,1000000,64000000,0.300,0.800,4534738.014,97281.669
Adaptive3/squashing,1000000,64000000,0.300,0.800,4382847.137,41233.848
Usual,1000000,4000000,0.020,0.950,4399601.449,55554.889
ParallelUnions/halfing,1000000,4000000,0.020,0.950,4575280.775,51230.196
Adaptive2/halfing,1000000,4000000,0.020,0.950,4515628.107,34898.512
Adaptive3/halfing,1000000,4000000,0.020,0.950,4206815.483,52097.165
ParallelUnions/squashing,1000000,4000000,0.020,0.950,4574691.089,48659.068
Adaptive2/squashing,1000000,4000000,0.020,0.950,4556098.284,34128.797
Adaptive3/squashing,1000000,4000000,0.020,0.950,4037767.691,122416.548
Usual,1000000,16000000,0.020,0.950,4779828.418,28998.883
