DSU,Stage,N,E,ipf,ssf,shuffle,Score,Score Error
Adaptive2/squashing:global_data_read_write,1,1000000,400,0.1,0.9999,true,0.000,0.000
Adaptive2/squashing:same_set_requests_true,1,1000000,400,0.1,0.9999,true,3309357.167,38645.795
Adaptive2/squashing:same_set_requests_false,1,1000000,400,0.1,0.9999,true,690237.833,38640.924
Adaptive2/squashing:union_requests,1,1000000,400,0.1,0.9999,true,405.000,7.668
Adaptive2/squashing,2,1000000,400,0.1,0.9999,true,1706245.091,389130.249
Adaptive2/squashing:cross_node_read,2,1000000,400,0.1,0.9999,true,2915832.000,700919.734
Adaptive2/squashing:this_node_read,2,1000000,400,0.1,0.9999,true,18448289.833,596613.142
Adaptive2/squashing:cross_node_write,2,1000000,400,0.1,0.9999,true,0.000,0.000
Adaptive2/squashing:this_node_read_success,2,1000000,400,0.1,0.9999,true,904797.833,357539.669
Adaptive2/squashing:this_node_write,2,1000000,400,0.1,0.9999,true,865501.667,142048.801
Adaptive2/squashing:global_data_read_write,2,1000000,400,0.1,0.9999,true,0.000,0.000
Adaptive2/squashing:same_set_requests_true,2,1000000,400,0.1,0.9999,true,3826287.333,36379.840
Adaptive2/squashing:same_set_requests_false,2,1000000,400,0.1,0.9999,true,173299.667,36378.124
Adaptive2/squashing:union_requests,2,1000000,400,0.1,0.9999,true,413.000,2.191
Adaptive3/squashing,0,1000000,4000000,0.1,0,true,994411.646,315712.625
Adaptive3/squashing:cross_node_read,0,1000000,4000000,0.1,0,true,9946126.333,1911040.638
Adaptive3/squashing:this_node_read,0,1000000,4000000,0.1,0,true,39759502.500,4749271.932
Adaptive3/squashing:cross_node_write,0,1000000,4000000,0.1,0,true,77602.167,380.151
Adaptive3/squashing:this_node_read_success,0,1000000,4000000,0.1,0,true,7764166.833,1849105.836
Adaptive3/squashing:this_node_write,0,1000000,4000000,0.1,0,true,922274.667,396.557
Adaptive3/squashing:global_data_read_write,0,1000000,4000000,0.1,0,true,0.000,0.000
Adaptive3/squashing:same_set_requests_true,0,1000000,4000000,0.1,0,true,0.000,0.000
Adaptive3/squashing:same_set_requests_false,0,1000000,4000000,0.1,0,true,0.000,0.000
Adaptive3/squashing:union_requests,0,1000000,4000000,0.1,0,true,4000000.000,0.000
Adaptive3/squashing,1,1000000,400,0.1,0.9999,true,826518.404,190373.730
Adaptive3/squashing:cross_node_read,1,1000000,400,0.1,0.9999,true,2803330.833,109865.727
Adaptive3/squashing:this_node_read,1,1000000,400,0.1,0.9999,true,15800257.000,445956.359
Adaptive3/squashing:cross_node_write,1,1000000,400,0.1,0.9999,true,0.000,0.000
Adaptive3/squashing:this_node_read_success,1,1000000,400,0.1,0.9999,true,12995103.167,376124.986
Adaptive3/squashing:this_node_write,1,1000000,400,0.1,0.9999,true,1123124.333,118058.075
Adaptive3/squashing:global_data_read_write,1,1000000,400,0.1,0.9999,true,0.000,0.000
Adaptive3/squashing:same_set_requests_true,1,1000000,400,0.1,0.9999,true,3997043.500,12.598
Adaptive3/squashing:same_set_requests_false,1,1000000,400,0.1,0.9999,true,2551.500,4.930
Adaptive3/squashing:union_requests,1,1000000,400,0.1,0.9999,true,405.000,7.668
Adaptive3/squashing,2,1000000,400,0.1,0.9999,true,1100380.005,382693.552
Adaptive3/squashing:cross_node_read,2,1000000,400,0.1,0.9999,true,2384610.167,35570.189
Adaptive3/squashing:this_node_read,2,1000000,400,0.1,0.9999,true,12731102.833,52588.096
Adaptive3/squashing:cross_node_write,2,1000000,400,0.1,0.9999,true,0.000,0.000
Adaptive3/squashing:this_node_read_success,2,1000000,400,0.1,0.9999,true,10344755.000,32003.672
Adaptive3/squashing:this_node_write,2,1000000,400,0.1,0.9999,true,136777.667,15725.331
Adaptive3/squashing:global_data_read_write,2,1000000,400,0.1,0.9999,true,0.000,0.000
Adaptive3/squashing:same_set_requests_true,2,1000000,400,0.1,0.9999,true,3996975.000,82.158
Adaptive3/squashing:same_set_requests_false,2,1000000,400,0.1,0.9999,true,2612.000,84.349
Adaptive3/squashing:union_requests,2,1000000,400,0.1,0.9999,true,413.000,2.191
