DSU,N,E,interpairFraction,sameSetFraction,Score,Score Error
SeveralDSU,1000000,4000000,0.100,0.300,2500669.814,208533.644
ParallelUnions/halfing,1000000,4000000,0.100,0.300,3301252.689,106989.903
Adaptive/halfing,1000000,4000000,0.100,0.300,3285344.100,255181.674
AdaptiveLocks/halfing,1000000,4000000,0.100,0.300,3300972.538,118303.532
LazyUnions/halfing,1000000,4000000,0.100,0.300,3195249.358,165949.886
ParallelUnions/squashing,1000000,4000000,0.100,0.300,3243217.797,117417.974
Adaptive/squashing,1000000,4000000,0.100,0.300,3353392.419,261834.349
AdaptiveLocks/squashing,1000000,4000000,0.100,0.300,3322485.854,129152.143
LazyUnions/squashing,1000000,4000000,0.100,0.300,3359625.497,195745.479
Usual,1000000,16000000,0.100,0.300,3470924.902,214171.687
SeveralDSU,1000000,16000000,0.100,0.300,3770516.483,169939.259
ParallelUnions/halfing,1000000,16000000,0.100,0.300,4050119.095,46939.284
Adaptive/halfing,1000000,16000000,0.100,0.300,4086836.706,113755.580
AdaptiveLocks/halfing,1000000,16000000,0.100,0.300,3971463.534,34167.810
LazyUnions/halfing,1000000,16000000,0.100,0.300,3642464.551,53371.665
ParallelUnions/squashing,1000000,16000000,0.100,0.300,3740872.266,127488.227
Adaptive/squashing,1000000,16000000,0.100,0.300,3958758.108,125684.642
AdaptiveLocks/squashing,1000000,16000000,0.100,0.300,3874593.779,47480.577
LazyUnions/squashing,1000000,16000000,0.100,0.300,3468117.164,96583.455
Usual,1000000,64000000,0.100,0.300,4289106.358,29732.999
SeveralDSU,1000000,64000000,0.100,0.300,4390360.122,69807.533
ParallelUnions/halfing,1000000,64000000,0.100,0.300,4504791.281,45176.970
Adaptive/halfing,1000000,64000000,0.100,0.300,4380348.411,45352.402
AdaptiveLocks/halfing,1000000,64000000,0.100,0.300,4299215.030,43913.368
LazyUnions/halfing,1000000,64000000,0.100,0.300,4194198.969,47207.430
ParallelUnions/squashing,1000000,64000000,0.100,0.300,4401988.628,54390.746
Adaptive/squashing,1000000,64000000,0.100,0.300,4299109.668,60067.856
AdaptiveLocks/squashing,1000000,64000000,0.100,0.300,4243222.103,48523.815
LazyUnions/squashing,1000000,64000000,0.100,0.300,4159090.728,34473.527
Usual,1000000,4000000,0.300,0.300,1845556.486,183240.833
SeveralDSU,1000000,4000000,0.300,0.300,2392466.555,187947.644
ParallelUnions/halfing,1000000,4000000,0.300,0.300,3049630.837,127561.613
Adaptive/halfing,1000000,4000000,0.300,0.300,3105546.375,207064.317
AdaptiveLocks/halfing,1000000,4000000,0.300,0.300,3098914.465,80134.082
LazyUnions/halfing,1000000,4000000,0.300,0.300,2711001.452,283716.555
