DSU,N,E,ipf,ssf,shuffle,Score,Score Error
AdaptiveSmart/halfing:this_node_write,1000000,2000000,0.02,0.2,true,2286699.333,315536.235
AdaptiveSmart/halfing:global_data_read_write,1000000,2000000,0.02,0.2,true,0.000,0.000
AdaptiveSmart/halfing:same_set_requests_true,1000000,2000000,0.02,0.2,true,253155.167,774.005
AdaptiveSmart/halfing:same_set_requests_false,1000000,2000000,0.02,0.2,true,246462.833,344.510
AdaptiveSmart/halfing:union_requests,1000000,2000000,0.02,0.2,true,2499920.000,0.000
AdaptiveSmart/halfing:hist_begin,1000000,2000000,0.02,0.2,true,468,0
AdaptiveSmart/halfing:hist_end,1000000,2000000,0.02,0.2,true,504,0
ParallelUnions/squashing,1000000,2000000,0.02,0.2,true,830566.215,104000.024
ParallelUnions/squashing:cross_node_read,1000000,2000000,0.02,0.2,true,981075.333,83.746
ParallelUnions/squashing:this_node_read,1000000,2000000,0.02,0.2,true,11840491.000,668937.143
ParallelUnions/squashing:cross_node_write,1000000,2000000,0.02,0.2,true,1961987.000,196.085
ParallelUnions/squashing:this_node_read_success,1000000,2000000,0.02,0.2,true,0.000,0.000
ParallelUnions/squashing:this_node_write,1000000,2000000,0.02,0.2,true,3257187.333,167184.089
ParallelUnions/squashing:global_data_read_write,1000000,2000000,0.02,0.2,true,1963536.667,155.266
ParallelUnions/squashing:same_set_requests_true,1000000,2000000,0.02,0.2,true,254688.167,203.549
ParallelUnions/squashing:same_set_requests_false,1000000,2000000,0.02,0.2,true,244929.833,236.212
ParallelUnions/squashing:union_requests,1000000,2000000,0.02,0.2,true,2499920.000,0.000
ParallelUnions/squashing:hist_begin,1000000,2000000,0.02,0.2,true,504,0
ParallelUnions/squashing:hist_end,1000000,2000000,0.02,0.2,true,540,0
Adaptive2/squashing,1000000,2000000,0.02,0.2,true,884443.483,195445.092
Adaptive2/squashing:cross_node_read,1000000,2000000,0.02,0.2,true,700809.000,20227.199
Adaptive2/squashing:this_node_read,1000000,2000000,0.02,0.2,true,17178189.000,459575.302
Adaptive2/squashing:cross_node_write,1000000,2000000,0.02,0.2,true,16796.167,34.568
Adaptive2/squashing:this_node_read_success,1000000,2000000,0.02,0.2,true,3905928.833,12209.999
Adaptive2/squashing:this_node_write,1000000,2000000,0.02,0.2,true,2241069.667,228022.120
Adaptive2/squashing:global_data_read_write,1000000,2000000,0.02,0.2,true,0.000,0.000
Adaptive2/squashing:same_set_requests_true,1000000,2000000,0.02,0.2,true,254460.500,529.287
Adaptive2/squashing:same_set_requests_false,1000000,2000000,0.02,0.2,true,245157.500,98.903
Adaptive2/squashing:union_requests,1000000,2000000,0.02,0.2,true,2499920.000,0.000
Adaptive2/squashing:hist_begin,1000000,2000000,0.02,0.2,true,540,0
Adaptive2/squashing:hist_end,1000000,2000000,0.02,0.2,true,576,0
Adaptive3/squashing,1000000,2000000,0.02,0.2,true,729498.303,159846.071
Adaptive3/squashing:cross_node_read,1000000,2000000,0.02,0.2,true,729644.000,15272.512
Adaptive3/squashing:this_node_read,1000000,2000000,0.02,0.2,true,16789895.167,201632.756
Adaptive3/squashing:cross_node_write,1000000,2000000,0.02,0.2,true,16881.500,92.837
