DSU,N,E,ipf,ssf,shuffle,Score,Score Error
Adaptive2/squashing:this_node_read_success,1000000,2000000,0.02,0.2,true,3861253.000,6322.863
Adaptive2/squashing:hist_begin,1000000,2000000,0.02,0.2,true,216,0
Adaptive2/squashing:hist_end,1000000,2000000,0.02,0.2,true,252,0
Adaptive3/squashing,1000000,2000000,0.02,0.2,true,820181.102,204180.681
Adaptive3/squashing:this_node_read,1000000,2000000,0.02,0.2,true,16519842.667,602172.782
Adaptive3/squashing:union_requests,1000000,2000000,0.02,0.2,true,2499920.000,0.000
Adaptive3/squashing:this_node_read_per_op,1000000,2000000,0.02,0.2,true,5.507,0.202
Adaptive3/squashing:same_set_requests,1000000,2000000,0.02,0.2,true,499873.000,565.250
Adaptive3/squashing:cross_node_write,1000000,2000000,0.02,0.2,true,16753.667,203.600
Adaptive3/squashing:cross_node_read_per_op,1000000,2000000,0.02,0.2,true,0.239,0.007
Adaptive3/squashing:cross_node_read,1000000,2000000,0.02,0.2,true,717365.667,20261.655
Adaptive3/squashing:global_data_read_write_per_op,1000000,2000000,0.02,0.2,true,0.000,0.000
Adaptive3/squashing:this_node_read_success_per_op,1000000,2000000,0.02,0.2,true,1.922,0.024
Adaptive3/squashing:cross_node_write_per_op,1000000,2000000,0.02,0.2,true,0.006,0.000
Adaptive3/squashing:this_node_write,1000000,2000000,0.02,0.2,true,2258571.500,311204.648
Adaptive3/squashing:this_node_write_per_op,1000000,2000000,0.02,0.2,true,0.753,0.104
Adaptive3/squashing:requests,1000000,2000000,0.02,0.2,true,2999793.000,565.250
Adaptive3/squashing:same_set_requests_true,1000000,2000000,0.02,0.2,true,254838.667,352.288
Adaptive3/squashing:global_data_read_write,1000000,2000000,0.02,0.2,true,0.000,0.000
Adaptive3/squashing:same_set_requests_false,1000000,2000000,0.02,0.2,true,245034.333,217.545
Adaptive3/squashing:this_node_read_success,1000000,2000000,0.02,0.2,true,5764818.000,70438.839
Adaptive3/squashing:hist_begin,1000000,2000000,0.02,0.2,true,252,0
Adaptive3/squashing:hist_end,1000000,2000000,0.02,0.2,true,288,0
Usual,1000000,4000000,0.02,0.2,true,1884609.760,120976.402
Usual:this_node_read,1000000,4000000,0.02,0.2,true,0.000,0.000
Usual:union_requests,1000000,4000000,0.02,0.2,true,4999968.000,0.000
Usual:this_node_read_per_op,1000000,4000000,0.02,0.2,true,0.000,0.000
Usual:same_set_requests,1000000,4000000,0.02,0.2,true,1000590.000,442.560
Usual:cross_node_write,1000000,4000000,0.02,0.2,true,0.000,0.000
Usual:cross_node_read_per_op,1000000,4000000,0.02,0.2,true,0.000,0.000
Usual:cross_node_read,1000000,4000000,0.02,0.2,true,0.000,0.000
Usual:global_data_read_write_per_op,1000000,4000000,0.02,0.2,true,0.000,0.000
Usual:this_node_read_success_per_op,1000000,4000000,0.02,0.2,true,0.000,0.000
Usual:cross_node_write_per_op,1000000,4000000,0.02,0.2,true,0.000,0.000
Usual:this_node_write,1000000,4000000,0.02,0.2,true,0.000,0.000
Usual:this_node_write_per_op,1000000,4000000,0.02,0.2,true,0.000,0.000
Usual:requests,1000000,4000000,0.02,0.2,true,6000558.000,442.560
Usual:same_set_requests_true,1000000,4000000,0.02,0.2,true,750371.167,206.032
Usual:global_data_read_write,1000000,4000000,0.02,0.2,true,0.000,0.000
